Equipment_ID,Equipment_Name,Department,Manufacturer,Installation_Date,Last_Service_Date,Next_Maintenance_Date,Daily_Usage_Limit,Equipment_Status,Temperature_Readings,Pressure_Load_Readings,Rotational_Speed_RPM,Power_Voltage_Usage,Usage_Hours_Per_Day,Vibration_Torque_Level,Maintenance_Overdue,Power_Backup_Available,Failure_Type,resource_failure,Downtime_Duration,Past_Repairs_Count,Failure_Type_Encoded,Predicted_Failure_Type,Failure_Probability,Estimated_Downtime,Reactive_Cost,Preventive_Cost,Cost_Saved,Prevented_Failure_Savings,Maintenance_Action,Live_Cost_Saved,Downtime_Cost,Repair_Cost,AI_Recommendation
EQ011,Ultrasound Machine,Radiology,Samsung Medison,2022-03-18,2025-05-06,2025-06-09,13,Active,73.6339047317237,47,3100,222,13,11.048235964131385,0,1,heat,0,3.0,3.0,0.0,wear,0.12810746643005966,1.2810746643005966,6405.373321502982,3843.223992901789,2562.1493286011932,1921.6119964508948,🟢 NORMAL,7821.611996450894,1024.8597314404772,1800.0,✅ Equipment operating normally
EQ012,Patient Monitor,ICU,Nihon Kohden,2021-07-21,2025-05-05,2025-06-06,14,Maintenance,78.88350886983888,55,3500,225,15,12.817632109057815,1,1,power,1,2.0,4.0,1.0,power,0.19874706241565088,1.9874706241565088,9937.353120782544,5962.411872469526,3974.9412483130172,2981.205936234763,🟢 NORMAL,10977.205936234763,1589.976499325207,2400.0,⚠️ Reduce equipment workload
EQ013,Syringe Pump,Emergency,B Braun,2023-01-11,2025-05-09,2025-06-14,10,Active,66.08510947967102,39,2400,214,9,6.897854574732163,0,1,wear,0,3.0,4.0,2.0,wear,0.5161344506542619,5.161344506542619,25806.722532713095,15484.033519627856,10322.689013085239,7742.016759813929,🟢 NORMAL,17448.01675981393,4129.075605234095,2400.0,🛠️ Replace worn-out components
EQ014,Heart Lung Machine,Cardiology,Terumo,2020-10-25,2025-04-29,2025-06-01,16,Critical,93.24446535357876,70,4300,245,21,19.022577150145413,1,0,heat,1,2.0,4.0,0.0,heat,0.5257876056655206,5.257876056655206,26289.38028327603,15773.628169965617,10515.752113310413,7886.81408498281,⚠️ PREVENTIVE,10765.814084982809,4206.3008453241655,2400.0,⚠️ Reduce equipment workload
EQ015,OT Light,Operation Theatre,Steris,2022-08-09,2025-05-07,2025-06-11,8,Active,65.5845100124922,36,2300,212,8,5.351823271554712,0,1,power,0,3.0,3.0,1.0,power,0.6395973088960509,6.39597308896051,31979.865444802548,19187.919266881527,12791.946177921021,9593.959633440763,🟡 SCHEDULE SOON,19164.95963344076,5116.778471168407,1800.0,✅ Equipment operating normally
EQ016,Incubator,Neonatal ICU,Atom Medical,2021-09-12,2025-05-01,2025-06-03,12,Maintenance,75.6070215361934,52,3200,224,14,11.68641966311479,1,1,wear,1,5.0,1.0,2.0,wear,0.9800426654692139,9.800426654692139,49002.13327346069,29401.279964076413,19600.853309384278,14700.639982038208,🔴 URGENT,20410.639982038207,7840.341323753712,600.0,🚨 Immediate maintenance required
EQ017,Portable Ventilator,Emergency,ResMed,2020-06-17,2025-04-27,2025-05-29,15,Critical,90.63729122929483,64,4150,238,20,16.608980051110162,1,0,heat,1,1.0,3.0,0.0,heat,0.45652034236315897,4.56520342363159,22826.01711815795,13695.61027089477,9130.40684726318,6847.805135447385,⚠️ PREVENTIVE,14291.805135447385,3652.162738905272,1800.0,⚠️ Reduce equipment workload
EQ018,Lab Centrifuge,Laboratory,Eppendorf,2023-02-01,2025-05-10,2025-06-15,9,Active,65.8410524047,41,2550,217,10,8.329828240311803,0,1,wear,0,3.0,3.0,2.0,wear,0.27100733229134233,2.7100733229134235,13550.366614567118,8130.21996874027,5420.146645826848,4065.109984370135,🟢 NORMAL,6209.109984370135,2168.0586583307386,1800.0,⚠️ Reduce equipment workload
EQ019,Hospital Refrigerator,Pharmacy,Haier Biomedical,2021-11-08,2025-05-04,2025-06-07,13,Maintenance,79.6779590460813,57,3600,229,16,14.073938644010804,1,1,power,1,1.0,2.0,1.0,power,0.3062029166566817,3.062029166566817,15310.145832834085,9186.08749970045,6124.058333133635,4593.043749850225,⚠️ PREVENTIVE,8267.043749850225,2449.6233332534534,1200.0,⚠️ Reduce equipment workload
EQ020,Oxygen Concentrator,ICU,Invacare,2022-05-14,2025-05-02,2025-06-05,11,Active,71.41927383158384,46,2850,221,12,9.417754843020212,0,1,wear,0,4.0,1.0,2.0,wear,0.4141650565971119,4.141650565971119,20708.252829855595,12424.951697913357,8283.301131942238,6212.475848956678,🟢 NORMAL,14958.475848956678,3313.3204527768953,600.0,⚠️ Reduce equipment workload
EQ021,Portable ECG,Cardiology,Philips,2022-02-15,2025-05-05,2025-06-05,12,Active,71.77385291059188,44,2900,220,11,10.434996410770044,0,1,wear,0,8.0,4.0,2.0,wear,0.29254995118886623,2.9254995118886624,14627.497559443313,8776.498535665987,5850.999023777325,4388.249267832994,🟢 NORMAL,11129.249267832995,2340.3996095109296,2400.0,🛠️ Replace worn-out components
EQ022,Portable Ventilator,ICU,Drager,2021-05-12,2025-05-01,2025-06-10,15,Critical,86.50779405099183,60,4100,235,19,15.707149100556588,1,0,heat,1,4.0,4.0,0.0,heat,0.42720307817523107,4.272030781752311,21360.153908761553,12816.092345256931,8544.061563504622,6408.046172628466,⚠️ PREVENTIVE,13228.046172628467,3417.6246254018483,2400.0,⚠️ Reduce equipment workload
EQ023,Defibrillator,Emergency,Zoll,2020-08-19,2025-05-03,2025-06-04,10,Maintenance,80.11941732162859,58,3600,228,17,13.224232396971017,1,1,power,1,8.0,4.0,1.0,power,0.34865610386636886,3.4865610386636887,17432.805193318443,10459.683115991065,6973.122077327378,5229.841557995533,⚠️ PREVENTIVE,9004.841557995533,2789.248830930951,2400.0,⚠️ Reduce equipment workload
EQ024,Patient Monitor,ICU,Nihon Kohden,2022-06-22,2025-05-07,2025-06-12,14,Active,74.27879531212103,50,3200,223,13,11.000326630238185,0,1,wear,0,9.0,2.0,2.0,wear,0.4392754945556758,4.392754945556758,21963.77472778379,13178.264836670274,8785.509891113517,6589.132418335137,🟢 NORMAL,9955.132418335137,3514.2039564454067,1200.0,✅ Equipment operating normally
EQ025,Dialysis Machine,Dialysis,Fresenius,2020-11-10,2025-05-06,2025-06-15,16,Critical,91.81645083127698,68,4300,242,21,18.35807960508511,1,0,heat,1,7.0,3.0,0.0,heat,0.14214599549381268,1.4214599549381268,7107.299774690634,4264.37986481438,2842.9199098762538,2132.18993240719,⚠️ PREVENTIVE,3595.18993240719,1137.1679639505014,1800.0,⚠️ Reduce equipment workload
EQ026,Infusion Pump,Emergency,Baxter,2023-01-18,2025-05-09,2025-06-13,11,Active,68.22068435790763,42,2500,215,9,7.128990499173298,0,1,power,0,2.0,1.0,1.0,power,0.4331198018254855,4.331198018254855,21655.990091274274,12993.594054764564,8662.39603650971,6496.797027382282,🟢 NORMAL,14467.797027382283,3464.9584146038837,600.0,✅ Equipment operating normally
EQ027,Syringe Pump,ICU,B Braun,2021-09-09,2025-05-02,2025-06-06,12,Maintenance,76.45288417220466,55,3400,225,15,12.431357805385185,1,1,wear,1,9.0,3.0,2.0,power,0.27158314149019736,2.7158314149019738,13579.157074509869,8147.494244705921,5431.662829803948,4073.74712235296,🟢 NORMAL,5097.74712235296,2172.665131921579,1800.0,⚠️ Reduce equipment workload
EQ028,Oxygen Concentrator,ICU,Invacare,2022-04-11,2025-05-04,2025-06-08,13,Active,71.75327666583324,47,3000,220,12,10.591089202286085,0,1,power,0,2.0,3.0,1.0,power,0.4839538830625917,4.839538830625917,24197.69415312958,14518.616491877749,9679.077661251833,7259.308245938875,🟢 NORMAL,10027.308245938875,3871.6310645007334,1800.0,✅ Equipment operating normally
EQ029,Ultrasound Machine,Radiology,GE Healthcare,2021-12-15,2025-05-05,2025-06-09,14,Active,74.40439240719085,49,3100,224,13,11.213065333456196,0,1,heat,0,5.0,4.0,0.0,heat,0.3936668486450273,3.936668486450273,19683.342432251364,11810.005459350818,7873.336972900546,5905.00272967541,🟢 NORMAL,14660.002729675409,3149.3347891602184,2400.0,🛠️ Replace worn-out components
EQ030,MRI Scanner,Radiology,Siemens,2020-07-25,2025-05-01,2025-06-01,18,Critical,92.62763060758044,72,4500,248,22,20.851152836057246,1,0,heat,1,8.0,2.0,0.0,heat,0.4545522562718375,4.545522562718375,22727.612813591877,13636.567688155126,9091.04512543675,6818.283844077562,⚠️ PREVENTIVE,11210.283844077563,3636.4180501747,1200.0,⚠️ Reduce equipment workload
EQ031,CT Scanner,Radiology,Canon,2021-03-17,2025-04-28,2025-06-03,15,Maintenance,83.97420311981054,61,3900,232,18,15.777028846016368,1,1,power,1,9.0,1.0,1.0,power,0.6676689321849038,6.676689321849038,33383.44660924519,20030.067965547114,13353.378643698077,10015.033982773557,⚠️ PREVENTIVE,15105.033982773557,5341.35145747923,600.0,⚠️ Reduce equipment workload
EQ032,X-Ray Machine,Radiology,Philips,2022-08-08,2025-05-06,2025-06-11,11,Active,69.40088349548378,40,2400,214,9,6.361338376415253,0,1,wear,0,5.0,1.0,2.0,power,0.20365323858297463,2.036532385829746,10182.661929148731,6109.597157489238,4073.064771659493,3054.7985787446196,🟢 NORMAL,8703.79857874462,1629.225908663797,600.0,✅ Equipment operating normally
EQ033,ECG Monitor,Cardiology,Medtronic,2023-02-14,2025-05-10,2025-06-14,10,Active,63.90319583295906,39,2350,212,8,4.661630870353219,0,1,power,0,4.0,4.0,1.0,power,0.5264230783904393,5.264230783904393,26321.153919521967,15792.69235171318,10528.461567808787,7896.34617585659,🟢 NORMAL,10259.34617585659,4211.384627123514,2400.0,🛠️ Replace worn-out components
EQ034,Heart Lung Machine,Cardiology,Terumo,2020-10-30,2025-05-02,2025-06-05,17,Critical,94.16947400347425,74,4600,250,23,21.422041020287594,1,0,heat,1,6.0,1.0,0.0,heat,0.4177547832562828,4.177547832562828,20887.73916281414,12532.643497688485,8355.095665125657,6266.3217488442415,⚠️ PREVENTIVE,14556.321748844242,3342.0382660502623,600.0,⚠️ Reduce equipment workload
EQ035,Anesthesia Machine,Operation Theatre,Drager,2021-11-22,2025-05-04,2025-06-07,12,Maintenance,79.5946074838859,56,3550,227,16,13.080938471217772,1,1,power,1,8.0,2.0,1.0,power,0.33585114855465187,3.3585114855465186,16792.557427732594,10075.534456639556,6717.022971093038,5037.767228319778,⚠️ PREVENTIVE,9990.767228319779,2686.8091884372147,1200.0,⚠️ Reduce equipment workload
EQ036,OT Light,Operation Theatre,Steris,2022-09-18,2025-05-08,2025-06-12,8,Active,62.03398656151582,35,2200,210,7,5.096961492820297,0,1,wear,0,8.0,3.0,2.0,wear,0.4940441911151652,4.940441911151652,24702.209555758258,14821.325733454954,9880.883822303304,7410.662866727478,🟢 NORMAL,12869.662866727478,3952.3535289213214,1800.0,✅ Equipment operating normally
EQ037,Incubator,Neonatal ICU,Atom Medical,2021-06-16,2025-05-03,2025-06-06,13,Maintenance,77.6146055707946,54,3300,224,14,10.440860232832893,1,1,wear,1,5.0,3.0,2.0,power,0.21105229002583997,2.1105229002584,10552.614501291999,6331.568700775199,4221.045800516799,3165.7843503875997,🟢 NORMAL,13098.7843503876,1688.4183202067197,1800.0,⚠️ Reduce equipment workload
EQ038,Lab Centrifuge,Laboratory,Eppendorf,2023-01-05,2025-05-09,2025-06-15,9,Active,65.41168402919733,41,2550,217,10,8.029997488252734,0,1,wear,0,4.0,3.0,2.0,wear,0.14382798962813345,1.4382798962813346,7191.399481406673,4314.839688844004,2876.559792562669,2157.419844422002,🟢 NORMAL,11180.419844422002,1150.6239170250676,1800.0,⚠️ Reduce equipment workload
EQ039,Blood Analyzer,Laboratory,Roche,2022-05-21,2025-05-06,2025-06-10,11,Active,71.772449631196,46,2850,219,12,8.516864276239964,0,1,power,0,1.0,1.0,1.0,power,0.6646417204465692,6.646417204465692,33232.08602232846,19939.251613397075,13292.834408931387,9969.625806698537,🟡 SCHEDULE SOON,14074.625806698537,5317.133763572554,600.0,⚠️ Reduce equipment workload
EQ040,Hospital Refrigerator,Pharmacy,Haier Biomedical,2021-08-27,2025-05-04,2025-06-08,12,Maintenance,81.66099001509436,59,3700,230,17,13.18500162773092,1,1,power,1,2.0,1.0,1.0,power,0.3879880026037714,3.879880026037714,19399.400130188573,11639.640078113143,7759.7600520754295,5819.820039056572,⚠️ PREVENTIVE,14789.820039056573,3103.9040208301712,600.0,⚠️ Reduce equipment workload
EQ041,Portable X-Ray,Radiology,Canon,2022-02-18,2025-05-07,2025-06-11,10,Active,68.14862185050866,43,2600,216,10,6.63282812592757,0,1,wear,0,7.0,2.0,2.0,wear,0.36546904014029924,3.654690401402992,18273.45200701496,10964.071204208974,7309.380802805985,5482.035602104489,🟢 NORMAL,14761.03560210449,2923.752321122394,1200.0,✅ Equipment operating normally
EQ042,C-Arm Machine,Operation Theatre,Siemens,2020-12-09,2025-05-01,2025-06-02,16,Critical,89.57182498769386,67,4250,240,20,18.000203461754346,1,0,heat,1,8.0,2.0,0.0,heat,0.5061779943539556,5.061779943539556,25308.899717697783,15185.339830618668,10123.559887079115,7592.669915309334,⚠️ PREVENTIVE,17070.669915309336,4049.423954831645,1200.0,⚠️ Reduce equipment workload
EQ043,Mammography Machine,Radiology,Hologic,2021-04-25,2025-05-05,2025-06-09,13,Active,75.10399097856248,48,3050,223,13,10.39872047430415,0,1,wear,0,1.0,4.0,2.0,wear,0.5039642779928596,5.039642779928596,25198.213899642982,15118.928339785789,10079.285559857193,7559.464169892894,🟢 NORMAL,8685.464169892894,4031.7142239428767,2400.0,🛠️ Replace worn-out components
EQ044,Ventilator,ICU,Philips,2020-09-12,2025-05-02,2025-06-05,17,Critical,91.26496653909412,71,4450,247,22,19.03300641165506,1,0,heat,1,5.0,3.0,0.0,heat,0.32667939353879255,3.2667939353879256,16333.969676939629,9800.381806163778,6533.587870775851,4900.190903081888,⚠️ PREVENTIVE,6736.190903081888,2613.4351483103405,1800.0,⚠️ Reduce equipment workload
EQ045,Patient Bed,General Ward,Hillrom,2023-01-30,2025-05-10,2025-06-15,8,Active,60.32788755959529,32,2000,205,6,3.4381343393829633,0,1,power,0,7.0,3.0,1.0,power,0.48979613206260486,4.897961320626049,24489.806603130244,14693.883961878146,9795.922641252098,7346.941980939073,🟢 NORMAL,11222.941980939073,3918.3690565008387,1800.0,✅ Equipment operating normally
EQ046,Suction Apparatus,Emergency,Medela,2021-07-11,2025-05-04,2025-06-08,10,Maintenance,80.14979338608572,57,3650,229,16,13.039056476372318,1,1,power,1,1.0,3.0,1.0,wear,0.770996232203975,7.7099623220397495,38549.81161019875,23129.886966119248,15419.9246440795,11564.943483059624,⚠️ PREVENTIVE,14529.943483059624,6167.9698576318,1800.0,⚠️ Reduce equipment workload
EQ047,Electrosurgical Unit,Operation Theatre,Valleylab,2022-03-15,2025-05-06,2025-06-10,12,Active,73.4424558373509,45,2950,220,11,9.058943027223398,0,1,wear,0,5.0,3.0,2.0,wear,0.22929956255602063,2.292995625560206,11464.97812780103,6878.9868766806185,4585.991251120412,3439.4934383403092,🟢 NORMAL,6803.493438340309,1834.396500448165,1800.0,✅ Equipment operating normally
EQ048,Fetal Monitor,Gynecology,Philips,2021-10-19,2025-05-03,2025-06-07,11,Maintenance,77.32343614379381,53,3350,225,15,12.1898233702014,1,1,wear,1,5.0,1.0,2.0,wear,0.2313572935353353,2.3135729353533527,11567.864676766763,6940.718806060057,4627.145870706706,3470.3594030300296,🟢 NORMAL,9603.35940303003,1850.8583482826823,600.0,⚠️ Reduce equipment workload
EQ049,Phototherapy Unit,NICU,GE Healthcare,2022-06-28,2025-05-08,2025-06-12,9,Active,66.24100345753253,37,2250,211,8,5.683577502977763,0,1,power,0,8.0,2.0,1.0,power,0.21373727313662194,2.137372731366219,10686.863656831096,6412.118194098657,4274.745462732439,3206.059097049329,🟢 NORMAL,4511.059097049329,1709.8981850929756,1200.0,✅ Equipment operating normally
EQ050,Autoclave,CSSD,Steris,2020-05-17,2025-05-01,2025-06-01,18,Critical,94.5549306894185,75,4700,252,24,21.11422922398545,1,0,heat,1,7.0,4.0,0.0,heat,0.28031748172160487,2.803174817216049,14015.874086080245,8409.524451648147,5606.349634432097,4204.762225824073,⚠️ PREVENTIVE,11384.762225824074,2242.539853772839,2400.0,⚠️ Reduce equipment workload
EQ051,Portable ECG Machine,Cardiology,Philips,2022-04-10,2025-05-05,2025-06-09,10,Active,71.45143386885873,42,2600,216,9,7.198695589545055,0,1,wear,0,4.0,1.0,2.0,wear,0.5424278589396452,5.424278589396452,27121.392946982258,16272.835768189354,10848.557178792904,8136.417884094678,🟢 NORMAL,13401.417884094677,4339.422871517161,600.0,✅ Equipment operating normally
EQ052,Telemetry Monitor,ICU,GE Healthcare,2021-06-14,2025-05-02,2025-06-06,14,Maintenance,80.32846593525747,58,3700,229,17,14.408887427946244,1,1,power,1,2.0,2.0,1.0,power,0.10610184386638627,1.0610184386638628,5305.092193319314,3183.0553159915885,2122.0368773277255,1591.527657995794,⚠️ PREVENTIVE,6871.527657995794,848.8147509310902,1200.0,⚠️ Reduce equipment workload
EQ053,Portable Defibrillator,Emergency,Zoll,2020-09-19,2025-05-01,2025-06-03,12,Critical,88.13063990081145,66,4200,239,20,17.701301972819454,1,0,heat,1,2.0,4.0,0.0,heat,0.13748993959465383,1.3748993959465383,6874.496979732691,4124.698187839615,2749.7987918930767,2062.3490939198073,⚠️ PREVENTIVE,4130.349093919807,1099.9195167572307,2400.0,⚠️ Reduce equipment workload
EQ054,Ventilator,ICU,Drager,2022-02-21,2025-05-07,2025-06-12,15,Active,74.51692323034814,49,3150,223,13,11.19992351369612,0,1,wear,0,7.0,3.0,2.0,wear,0.9466199257907983,9.466199257907984,47330.99628953992,28398.597773723952,18932.39851581597,14199.298886861976,🔴 URGENT,19758.298886861976,7572.959406326387,1800.0,🚨 Immediate maintenance required
EQ055,Portable Ultrasound,Radiology,Siemens,2021-08-15,2025-05-04,2025-06-08,11,Maintenance,77.34282681201681,55,3450,226,15,12.677405885359526,1,1,power,1,1.0,1.0,1.0,power,0.346406281150809,3.4640628115080903,17320.31405754045,10392.18843452427,6928.12562301618,5196.094217262135,🟢 NORMAL,13029.094217262136,2771.2502492064723,600.0,⚠️ Reduce equipment workload
EQ056,Blood Gas Analyzer,Laboratory,Roche,2020-11-18,2025-05-03,2025-06-07,13,Active,71.22748779884519,46,2850,219,12,9.327961886635048,0,1,wear,0,8.0,2.0,2.0,wear,0.1847628810939157,1.847628810939157,9238.144054695786,5542.886432817471,3695.2576218783142,2771.4432164087357,🟢 NORMAL,4353.443216408736,1478.1030487513256,1200.0,✅ Equipment operating normally
EQ057,Anesthesia Workstation,Operation Theatre,Drager,2021-10-30,2025-05-05,2025-06-10,16,Critical,90.10271237226458,70,4400,247,22,19.98308690566181,1,0,heat,1,9.0,4.0,0.0,heat,0.5453936906862789,5.453936906862788,27269.68453431394,16361.810720588363,10907.873813725577,8180.905360294183,⚠️ PREVENTIVE,14248.905360294182,4363.149525490231,2400.0,⚠️ Reduce equipment workload
EQ058,ICU Bed,ICU,Hillrom,2022-03-11,2025-05-08,2025-06-13,8,Active,62.07656465523453,34,2100,208,7,4.827471162627733,0,1,power,0,3.0,4.0,1.0,power,0.14548433522364326,1.4548433522364326,7274.216761182163,4364.530056709298,2909.686704472865,2182.265028354649,🟢 NORMAL,3613.265028354649,1163.874681789146,2400.0,🛠️ Replace worn-out components
EQ059,Surgical Light,Operation Theatre,Steris,2021-05-16,2025-05-02,2025-06-06,9,Maintenance,77.05445515038625,53,3300,224,14,11.332756671418302,1,1,wear,1,2.0,2.0,2.0,wear,0.203917632891884,2.03917632891884,10195.8816445942,6117.52898675652,4078.3526578376795,3058.76449337826,🟢 NORMAL,12974.76449337826,1631.341063135072,1200.0,⚠️ Reduce equipment workload
EQ060,Portable Suction Machine,Emergency,Medela,2020-07-20,2025-05-01,2025-06-05,10,Critical,88.1989735442987,64,4150,238,19,17.043369499389293,1,0,heat,1,6.0,3.0,0.0,heat,0.4537472453210345,4.537472453210345,22687.362266051725,13612.417359631034,9074.944906420691,6806.208679815518,⚠️ PREVENTIVE,10124.208679815518,3629.977962568276,1800.0,⚠️ Reduce equipment workload
EQ061,Portable Ventilator,ICU,ResMed,2022-01-13,2025-05-06,2025-06-11,14,Active,74.28809727602291,47,3000,221,12,9.960215349555915,0,1,wear,0,5.0,4.0,2.0,wear,0.5201865207892689,5.201865207892689,26009.32603946344,15605.595623678064,10403.730415785378,7802.797811839033,🟢 NORMAL,15358.797811839033,4161.492166314151,2400.0,🛠️ Replace worn-out components
EQ062,CPAP Machine,Pulmonology,Philips,2021-09-27,2025-05-04,2025-06-08,11,Maintenance,79.3446432690526,56,3550,228,16,12.746916323050892,1,1,power,1,2.0,2.0,1.0,power,0.5244023753313531,5.244023753313531,26220.118766567655,15732.071259940592,10488.047506627063,7866.035629970297,⚠️ PREVENTIVE,13472.035629970298,4195.219002650825,1200.0,⚠️ Reduce equipment workload
EQ063,BIPAP Machine,Pulmonology,ResMed,2020-12-22,2025-05-03,2025-06-07,12,Active,70.67229222325216,45,2800,218,11,8.294285384993747,0,1,wear,0,7.0,2.0,2.0,power,0.3400546545595753,3.400546545595753,17002.732727978764,10201.639636787258,6801.093091191506,5100.819818393629,🟢 NORMAL,14553.81981839363,2720.4372364766023,1200.0,✅ Equipment operating normally
EQ064,Portable X-Ray,Radiology,Canon,2021-04-08,2025-05-02,2025-06-06,13,Critical,91.93471716489886,68,4350,244,21,19.29805996924653,1,0,heat,1,4.0,3.0,0.0,heat,0.39968708438095524,3.9968708438095524,19984.35421904776,11990.612531428656,7993.741687619104,5995.306265714328,⚠️ PREVENTIVE,10633.306265714327,3197.496675047642,1800.0,⚠️ Reduce equipment workload
EQ065,C-Arm Machine,Operation Theatre,Siemens,2022-06-18,2025-05-07,2025-06-12,15,Active,73.87322339392873,50,3200,224,13,11.38359587842117,0,1,wear,0,6.0,3.0,2.0,power,0.7147398271462643,7.1473982714626425,35736.991357313214,21442.194814387927,14294.796542925287,10721.097407193964,🟡 SCHEDULE SOON,15388.097407193964,5717.918617170114,1800.0,✅ Equipment operating normally
EQ066,Digital ECG Recorder,Cardiology,Medtronic,2021-08-11,2025-05-05,2025-06-09,10,Maintenance,78.49026536846247,54,3350,225,15,12.364066302090631,1,1,power,1,9.0,4.0,1.0,power,0.3052497033954634,3.0524970339546345,15262.485169773172,9157.491101863903,6104.994067909269,4578.745550931952,🟢 NORMAL,13000.745550931952,2441.9976271637074,2400.0,⚠️ Reduce equipment workload
EQ067,Infusion Controller,ICU,Baxter,2020-10-15,2025-05-04,2025-06-08,11,Active,70.09742202233404,44,2700,217,10,7.419722032059518,0,1,wear,0,5.0,3.0,2.0,wear,0.9304685184615806,9.304685184615806,46523.425923079034,27914.05555384742,18609.370369231616,13957.02777692371,🔴 URGENT,17279.027776923707,7443.748147692645,1800.0,🚨 Immediate maintenance required
